Data S&P 500 (SPX),,,,,,
Data Kuantitatif Diskrit,,Data kuantitatif kontinu,,,,
Date,Price,Open,High,Low,Vol.,Change %
9/22/2025,"6,693.75","6,654.28","6,698.88","6,648.07",,0.44%
9/19/2025,"6,664.36","6,647.11","6,671.82","6,630.31",,0.49%
9/18/2025,"6,631.96","6,626.85","6,656.80","6,611.89",,0.48%
9/17/2025,"6,600.35","6,604.87","6,624.39","6,551.15",,-0.10%
9/16/2025,"6,606.76","6,624.13","6,626.99","6,600.11",,-0.13%
9/15/2025,"6,615.28","6,603.49","6,619.62","6,602.07",,0.47%
9/12/2025,"6,584.29","6,590.66","6,600.21","6,579.49",,-0.05%
9/11/2025,"6,587.47","6,554.41","6,592.89","6,545.80",,0.85%
9/10/2025,"6,532.04","6,550.29","6,555.97","6,516.34",,0.30%
9/9/2025,"6,512.61","6,503.33","6,518.23","6,483.08",,0.27%
9/8/2025,"6,495.15","6,498.09","6,508.67","6,483.29",,0.21%
9/5/2025,"6,481.50","6,529.08","6,532.65","6,443.98",,-0.32%
9/4/2025,"6,502.08","6,456.60","6,502.54","6,445.98",,0.83%
9/3/2025,"6,448.26","6,445.82","6,453.67","6,416.17",,0.51%
9/2/2025,"6,415.54","6,401.51","6,416.54","6,360.58",,-0.69%
8/29/2025,"6,460.26","6,489.28","6,491.76","6,444.57",,-0.64%
8/28/2025,"6,501.86","6,483.84","6,508.23","6,466.96",,0.32%
8/27/2025,"6,481.40","6,462.26","6,487.06","6,457.84",,0.24%
8/26/2025,"6,465.94","6,435.49","6,468.37","6,429.21",,0.41%
8/25/2025,"6,439.32","6,457.67","6,466.89","6,438.06",,-0.43%
Source:https://www.investing.com/indices/us-spx-500-historical-data ,,,,,,
Dibuat pada tanggal 23-9-2025 pada 3:23,,,,,,
